"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMUNIDADES","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6662","7.56027854","3.536E-5","0.13227026","0.0","84","2","24","false","C03373","5.5","2","0","0","0.7949913","false","0","C03373","62450","0.5"
"6664","5.94559698","0.00410959","0.16819169","0.0","84","16","22","false","C00101","4.5","16","0","0","0.84545009","false","0","C00101","70914752","0.10294118"
"6666","6.19207892","6.572E-4","0.16149665","0.0","84","7","23","false","C00445","4.85714286","7","0","0","0.83774753","false","0","C00445","19566368","0.24107143"
"6668","6.57536631","2.7223E-4","0.15208278","0.0","84","9","23","false","C00234","3.66666667","9","0","0","0.8257698","false","0","C00234","5111942","0.20512821"
"6670","8.62469172","2.0E-8","0.11594617","0.0","84","2","25","false","PFAS","2.0","2","0","0","0.76172838","false","0","PFAS","2","1.0"
"6673","7.3143769","3.2892E-4","0.13671705","0.0","84","3","23","false","PAICS","1.66666667","3","0","0","0.80267572","false","0","PAICS","4092198","0.33333333"
"6675","6.22588133","2.342E-5","0.16061983","0.0","84","2","22","false","C04677","5.0","2","0","0","0.83669121","false","0","C04677","43768","0.5"
"6676","5.65718845","0.00129084","0.17676625","0.0","84","5","22","false","ATIC","11.8","5","0","0","0.85446286","false","0","ATIC","20551238","0.225"
"6679","6.65704338","0.0","0.15021684","0.0","84","1","23","false","C04734","5.0","1","0","0","0.82321739","false","0","C04734","0","0.0"
"6681","4.73465835","0.00586484","0.21120848","0.00215054","13","31","21","false","C00130","15.09677419","31","0","0","0.88329193","false","0","C00130","203129112","0.10043468"
"6685","6.37414769","5.8494E-4","0.15688372","0.0","84","2","22","false","C04823","4.0","2","0","0","0.83205788","false","0","C04823","7984202","0.5"
"6688","4.49006238","0.00944328","0.22271405","0.00177305","13","48","20","false","C00020","15.70833333","48","0","0","0.89093555","false","0","C00020","565119956","0.08115842"
"6690","6.16828667","2.073E-5","0.16211957","0.0","142","3","22","false","C03794","3.66666667","3","0","0","0.83849104","false","0","C03794","51606","0.44444444"
