"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"262535","11.87650361","3.048E-4","0.08419986","0.0","39","2","1","false","TREH","8.5","1","0","false","0","TREH","16266597"
"266632","22.59125552","0.00948553","0.04426491","0.0","53","2","1","false","PMVK","2.0","1","0","false","0","PMVK","592058771"
"262538","14.80272654","0.0","0.06755512","0.0","42","5","0","false","C01935","4.0","5","0","false","0","C01935","0"
"262547","13.83072603","1.6844E-4","0.07230278","0.0","41","4","2","false","AMY2B","9.5","2","0","false","0","AMY2B","870656754"
"262549","12.84476534","8.1144E-4","0.07785273","0.0","40","9","5","false","C00208","4.888888888888889","4","0","false","0","C00208","1301389240"
"258447","10.98355395","0.00138576","0.09104521","0.0","42","7","5","false","C05298","21.0","2","0","false","0","C05298","51811944"
"262543","13.83072603","1.6844E-4","0.07230278","0.0","41","4","2","false","AMY1C","9.5","2","0","false","0","AMY1C","870656754"
"258453","9.98716406","0.00270705","0.10012852","0.0","41","18","9","false","COMT","7.25","9","2","false","0","COMT","217340066"
"262545","13.83072603","1.6844E-4","0.07230278","0.0","41","4","2","false","AMY2A","9.5","2","0","false","0","AMY2A","870656754"
"266641","19.66787004","1.2E-7","0.05084435","0.0","50","4","2","false","C00341","5.0","2","2","false","0","C00341","2"
"258457","10.43642198","0.00122345","0.09581828","0.0","40","21","2","false","C05299","30.476190476190474","19","0","false","0","C05299","66546740"
"266653","1.0","1.3425E-4","1.0","0.0","1","2","1","false","NUS1","5.5","1","0","false","0","NUS1","13696265"
"258455","9.98716406","0.00270705","0.10012852","0.0","41","18","9","false","LRTOMT","7.25","9","2","false","0","LRTOMT","217340066"
"266650","0.0","0.0","0.0","0.0","0","2","2","false","C00353","5.0","0","0","false","0","C00353","0"
"262563","11.41516245","2.178E-4","0.08760278","0.0","41","2","1","false","AGL","12.5","1","0","false","0","AGL","6549069"
"266660","1.0","1.3425E-4","1.0","0.0","1","2","1","false","PDSS1","5.5","1","0","false","0","PDSS1","13696265"
"262565","11.41516245","2.178E-4","0.08760278","0.0","41","2","1","false","PYGB","12.5","1","0","false","0","PYGB","6549069"
"266662","1.0","1.3425E-4","1.0","0.0","1","2","1","false","PDSS2","5.5","1","0","false","0","PDSS2","13696265"
"266655","1.0","1.3425E-4","1.0","0.0","1","2","1","false","DHDDS","5.5","1","0","false","0","DHDDS","13696265"
"266657","0.0","0.0","0.0","0.0","0","2","2","false","C05859","2.0","0","0","false","0","C05859","0"
"266667","2.83333333","8.055E-4","0.35294118","0.0","5","2","1","false","FNTA","6.5","1","0","false","0","FNTA","123266385"
"266669","2.83333333","8.055E-4","0.35294118","0.0","5","2","1","false","FNTB","6.5","1","0","false","0","FNTB","123266385"
"262567","11.41516245","2.178E-4","0.08760278","0.0","41","2","1","false","PYGL","12.5","1","0","false","0","PYGL","6549069"
"266664","0.0","0.0","0.0","0.0","0","2","2","false","C17432","2.0","0","0","false","0","C17432","0"
"262569","11.41516245","2.178E-4","0.08760278","0.0","41","2","1","false","PYGM","12.5","1","0","false","0","PYGM","6549069"
"266676","1.5","5.3822E-4","0.66666667","0.0","2","3","2","false","C04506","2.0","1","0","false","0","C04506","109570136"
"262581","12.85485164","0.0","0.07779164","0.0","40","1","0","false","C00252","5.0","1","0","false","0","C00252","0"
"258479","0.0","0.0","0.0","0.0","0","19","19","false","C11132","32.0","0","0","false","0","C11132","0"
"266678","1.0","2.6923E-4","1.0","0.0","1","2","1","false","ICMT","2.0","1","0","false","0","ICMT","54785069"
"266671","2.2","0.00134373","0.45454545","0.0","4","4","2","false","C20120","2.0","2","0","false","0","C20120","219140256"
"262575","12.84155636","0.00101737","0.07787218","0.0","40","10","5","false","C00721","4.9","5","0","false","0","C00721","1626746545"
"266674","2.0","4.033E-4","0.5","0.0","3","2","1","false","RCE1","3.5","1","0","false","0","RCE1","82177599"
"266680","0.0","0.0","0.0","0.0","0","1","1","false","C04748","2.0","0","0","false","0","C04748","0"
"266692","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA14","14.0","1","0","false","0","CA14","72486390"
"262596","43.31648616","0.00125305","0.0230859","0.0","62","3","2","false","G00002","2.3333333333333335","1","0","false","0","G00002","7305301692"
"266694","1.0","2.065E-5","1.0","0.0","1","2","1","false","CA13","14.0","1","0","false","0","CA13","72486390"
"262598","35.22342559","0.0032599","0.0283902","0.0","54","7","2","false","C00110","2.857142857142857","5","0","false","0","C00110","7091184284"
"266687","2.0","4.033E-4","0.5","0.0","3","2","1","false","ZMPSTE24","3.5","1","0","false","0","ZMPSTE24","82177599"
"262593","45.28840754","0.00114415","0.02208071","0.0","64","3","1","false","G00001","2.0","2","0","false","0","G00001","3545588528"
"262594","44.30726033","4.5604E-4","0.02256966","0.0","63","2","1","false","ALG14","3.0","1","0","false","0","ALG14","2712722542"
