"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"207542","4.82819744","4.0E-8","0.20711663","0.0","2","11","false","EZH2","4.0","2","0","0","0.72655733","false","0","EZH2","2","1.0"
"174774","3.55004091","3.93E-6","0.2816869","0.33333333","4","10","false","PLA2G2D","146.5","4","0","0","0.81785422","false","0","PLA2G2D","27358","0.50257732"
"191155","3.75538587","5.9638E-4","0.26628422","0.24285714","36","10","false","ACTN4","54.47222222","36","0","0","0.80318672","false","0","ACTN4","2830486","0.24185185"
"207540","4.55222253","0.0","0.21967292","0.0","1","11","false","GLS2","3.0","1","0","0","0.74626982","false","0","GLS2","0","0.0"
"174772","3.6266703","0.0","0.27573502","0.0","2","10","false","PLAAT3","192.5","2","0","0","0.81238069","false","0","PLAAT3","12","0.96717172"
"191161","3.77092992","2.45E-6","0.26518658","0.56521739","24","10","false","PARVA","78.0","24","0","0","0.80207643","false","0","PARVA","4324","0.36792453"
"199354","5.13662394","0.0","0.1946804","0.0","1","11","false","CYTH3","6.0","1","0","0","0.70452686","false","0","CYTH3","0","0.0"
"174778","3.55004091","3.93E-6","0.2816869","0.33333333","4","10","false","PLA2G2C","146.5","4","0","0","0.81785422","false","0","PLA2G2C","27358","0.50257732"
"207545","5.12789746","0.0","0.1950117","0.0","1","11","false","CDCA5","3.0","1","0","0","0.70515018","false","0","CDCA5","0","0.0"
"191159","3.77092992","2.45E-6","0.26518658","0.56521739","24","10","false","PARVB","78.0","24","0","0","0.80207643","false","0","PARVB","4324","0.36792453"
"199352","5.13662394","0.0","0.1946804","0.0","1","11","false","CYTH4","6.0","1","0","0","0.70452686","false","0","CYTH4","0","0.0"
"174776","3.55004091","3.93E-6","0.2816869","0.33333333","4","10","false","PLA2G2E","146.5","4","0","0","0.81785422","false","0","PLA2G2E","27358","0.50257732"
"199358","5.13662394","0.0","0.1946804","0.0","1","11","false","CYTH1","6.0","1","0","0","0.70452686","false","0","CYTH1","0","0.0"
"174782","3.6266703","0.0","0.27573502","0.0","2","10","false","PLA1A","192.5","2","0","0","0.81238069","false","0","PLA1A","12","0.96717172"
"191163","3.77092992","2.45E-6","0.26518658","0.56521739","24","10","false","PARVG","78.0","24","0","0","0.80207643","false","0","PARVG","4324","0.36792453"
"199356","5.13662394","0.0","0.1946804","0.0","1","11","false","CYTH2","6.0","1","0","0","0.70452686","false","0","CYTH2","0","0.0"
"207547","5.12789746","0.0","0.1950117","0.0","1","11","false","KIF23","3.0","1","0","0","0.70515018","false","0","KIF23","0","0.0"
"174780","3.55004091","3.93E-6","0.2816869","0.33333333","4","10","false","PLA2G3","146.5","4","0","0","0.81785422","false","0","PLA2G3","27358","0.50257732"
"191169","4.12217071","0.0","0.24259063","1.0","2","10","false","FGA","103.5","2","0","0","0.77698781","false","0","FGA","0","0.82142857"
"174786","3.55004091","3.93E-6","0.2816869","0.33333333","4","10","false","PLA2G2A","146.5","4","0","0","0.81785422","false","0","PLA2G2A","27358","0.50257732"
"191167","4.12217071","0.0","0.24259063","1.0","2","10","false","FERMT3","103.5","2","0","0","0.77698781","false","0","FERMT3","0","0.82142857"
"174784","3.55004091","3.93E-6","0.2816869","0.33333333","4","10","false","PLA2G1B","146.5","4","0","0","0.81785422","false","0","PLA2G1B","27358","0.50257732"
"191173","4.12217071","0.0","0.24259063","1.0","2","10","false","FGG","103.5","2","0","0","0.77698781","false","0","FGG","0","0.82142857"
