"SUID","ALL-PATH-LIST","EdgeBetweenness","interaction","name","NPATHWAYS","PATHWAY","selected","shared interaction","shared name"
"246505","hsa03320","1.0","interaction","RXRA (interaction) ME3","1","hsa03320","false","interaction","RXRA (interaction) ME3"
"246504","hsa03320","1.0","interaction","RXRA (interaction) ME1","1","hsa03320","false","interaction","RXRA (interaction) ME1"
"246503","hsa03320","1.0","interaction","PPARA (interaction) ME3","1","hsa03320","false","interaction","PPARA (interaction) ME3"
"246509","hsa03320","1.0","interaction","RXRG (interaction) ME3","1","hsa03320","false","interaction","RXRG (interaction) ME3"
"246508","hsa03320","1.0","interaction","RXRB (interaction) ME3","1","hsa03320","false","interaction","RXRB (interaction) ME3"
"246507","hsa03320","1.0","interaction","RXRG (interaction) ME1","1","hsa03320","false","interaction","RXRG (interaction) ME1"
"246514","hsa03320","1.0","interaction","RXRA (interaction) SCD","1","hsa03320","false","interaction","RXRA (interaction) SCD"
"246513","hsa03320","1.0","interaction","PPARA (interaction) SCD5","1","hsa03320","false","interaction","PPARA (interaction) SCD5"
"246511","hsa03320","1.0","interaction","PPARA (interaction) SCD","1","hsa03320","false","interaction","PPARA (interaction) SCD"
"246518","hsa03320","1.0","interaction","RXRB (interaction) SCD5","1","hsa03320","false","interaction","RXRB (interaction) SCD5"
"246517","hsa03320","1.0","interaction","RXRG (interaction) SCD","1","hsa03320","false","interaction","RXRG (interaction) SCD"
"246516","hsa03320","1.0","interaction","RXRB (interaction) SCD","1","hsa03320","false","interaction","RXRB (interaction) SCD"
"246515","hsa03320","1.0","interaction","RXRA (interaction) SCD5","1","hsa03320","false","interaction","RXRA (interaction) SCD5"
"246522","hsa03320","1.0","interaction","RXRA (interaction) FADS2","1","hsa03320","false","interaction","RXRA (interaction) FADS2"
"246521","hsa03320","1.0","interaction","PPARA (interaction) FADS2","1","hsa03320","false","interaction","PPARA (interaction) FADS2"
"246519","hsa03320","1.0","interaction","RXRG (interaction) SCD5","1","hsa03320","false","interaction","RXRG (interaction) SCD5"
"246526","hsa03320","1.0","interaction","PPARA (interaction) CYP7A1","1","hsa03320","false","interaction","PPARA (interaction) CYP7A1"
"246524","hsa03320","1.0","interaction","RXRG (interaction) FADS2","1","hsa03320","false","interaction","RXRG (interaction) FADS2"
"246523","hsa03320","1.0","interaction","RXRB (interaction) FADS2","1","hsa03320","false","interaction","RXRB (interaction) FADS2"
"246529","hsa03320","1.0","interaction","RXRG (interaction) CYP7A1","1","hsa03320","false","interaction","RXRG (interaction) CYP7A1"
"246528","hsa03320","1.0","interaction","RXRB (interaction) CYP7A1","1","hsa03320","false","interaction","RXRB (interaction) CYP7A1"
"246527","hsa03320","1.0","interaction","RXRA (interaction) CYP7A1","1","hsa03320","false","interaction","RXRA (interaction) CYP7A1"
"246534","hsa03320","1.0","interaction","RXRG (interaction) CYP8B1","1","hsa03320","false","interaction","RXRG (interaction) CYP8B1"
"246533","hsa03320","1.0","interaction","RXRB (interaction) CYP8B1","1","hsa03320","false","interaction","RXRB (interaction) CYP8B1"
"246532","hsa03320","1.0","interaction","RXRA (interaction) CYP8B1","1","hsa03320","false","interaction","RXRA (interaction) CYP8B1"
"246531","hsa03320","1.0","interaction","PPARA (interaction) CYP8B1","1","hsa03320","false","interaction","PPARA (interaction) CYP8B1"
"246538","hsa03320","35.0","interaction","RXRB (interaction) NR1H3","1","hsa03320","false","interaction","RXRB (interaction) NR1H3"
"246537","hsa03320","1.0","interaction","RXRA (interaction) NR1H3","1","hsa03320","false","interaction","RXRA (interaction) NR1H3"
"246536","hsa03320","1.0","interaction","PPARA (interaction) NR1H3","1","hsa03320","false","interaction","PPARA (interaction) NR1H3"
"246542","hsa03320","1.0","interaction","RXRA (interaction) DBI","1","hsa03320","false","interaction","RXRA (interaction) DBI"
"246541","hsa03320","1.0","interaction","PPARA (interaction) DBI","1","hsa03320","false","interaction","PPARA (interaction) DBI"
"246539","hsa03320","35.0","interaction","RXRG (interaction) NR1H3","1","hsa03320","false","interaction","RXRG (interaction) NR1H3"
"246546","hsa03320","1.0","interaction","PPARA (interaction) FABP1","1","hsa03320","false","interaction","PPARA (interaction) FABP1"
